dates,episodes,votes,rating
19-06-23,The Town Where Everything Began,3231,9.6
19-06-23,Thunder Spears,3185,9.6
19-06-23,Descent,3318,9.6
19-06-23,Perfect Game,6061,9.9
19-06-23,Hero,19195,10.0
19-06-23,Midnight Sun,7103,9.9
19-06-23,The Basement,2832,9.3
19-06-23,That Day,5361,9.9
19-06-23,The Attack Titan,0,0.0
19-06-23,To the Other Side of the Wall,0,0.0
