dates,episodes,votes,rating
19-06-11,The Town Where Everything Began,2784,9.6
19-06-11,Thunder Spears,2715,9.6
19-06-11,Descent,2812,9.6
19-06-11,Perfect Game,4827,9.8
19-06-11,Hero,17486,9.9
19-06-11,Midnight Sun,5593,10
19-06-11,The Basement,1241,9.3
19-06-11,That Day,0,0
19-06-11,The Attack Titan,0,0
19-06-11,To the Other Side of the Wall,0,0
