dates,episodes,votes,rating
19-07-04,The Town Where Everything Began,3625,9.7
19-07-04,Thunder Spears,3578,9.7
19-07-04,Descent,3702,9.6
19-07-04,Perfect Game,6802,9.9
19-07-04,Hero,20322,10.0
19-07-04,Midnight Sun,7874,9.9
19-07-04,The Basement,3511,9.3
19-07-04,That Day,6453,9.9
19-07-04,The Attack Titan,2848,9.7
19-07-04,To the Other Side of the Wall,1738,9.5
