dates,episodes,votes,rating
19-06-21,The Town Where Everything Began,3187,9.6
19-06-21,Thunder Spears,3142,9.6
19-06-21,Descent,3276,9.6
19-06-21,Perfect Game,5955,9.9
19-06-21,Hero,19020,10.0
19-06-21,Midnight Sun,6993,9.9
19-06-21,The Basement,2744,9.3
19-06-21,That Day,5104,9.9
19-06-21,The Attack Titan,0,0.0
19-06-21,To the Other Side of the Wall,0,0.0
