dates,episodes,votes,rating
19-06-15,The Town Where Everything Began,2879,9.6
19-06-15,Thunder Spears,2812,9.6
19-06-15,Descent,2918,9.6
19-06-15,Perfect Game,5004,9.8
19-06-15,Hero,17917,10.0
19-06-15,Midnight Sun,5885,9.9
19-06-15,The Basement,1619,9.2
19-06-15,That Day,0,0.0
19-06-15,The Attack Titan,0,0.0
19-06-15,To the Other Side of the Wall,0,0.0
