dates,episodes,votes,rating
19-06-12,The Town Where Everything Began,2823,9.6
19-06-12,Thunder Spears,2757,9.6
19-06-12,Descent,2856,9.6
19-06-12,Perfect Game,4891,9.8
19-06-12,Hero,17663,10.0
19-06-12,Midnight Sun,5716,9.9
19-06-12,The Basement,1427,9.3
19-06-12,That Day,0,0.0
19-06-12,The Attack Titan,0,0.0
19-06-12,To the Other Side of the Wall,0,0.0
