dates,episodes,votes,rating
19-06-01,The Town Where Everything Began,2123,9.6
19-06-01,Thunder Spears,2018,9.6
19-06-01,Descent,2052,9.6
19-06-01,Perfect Game,3360,9.8
19-06-01,Hero,13934,9.9
19-06-01,Midnight Sun,0,0.0
19-06-01,The Basement,0,0.0
19-06-01,Episode #3.20,0,0.0
19-06-01,Episode #3.21,0,0.0
19-06-01,Episode #3.22,0,0.0
