dates,episodes,votes,rating
19-06-28,The Town Where Everything Began,3397,9.6
19-06-28,Thunder Spears,3355,9.7
19-06-28,Descent,3500,9.6
19-06-28,Perfect Game,6426,9.9
19-06-28,Hero,19784,10.0
19-06-28,Midnight Sun,7505,9.9
19-06-28,The Basement,3208,9.3
19-06-28,That Day,6028,9.9
19-06-28,The Attack Titan,2180,9.7
19-06-28,To the Other Side of the Wall,0,0.0
