dates,episodes,votes,rating
19-06-03,The Town Where Everything Began,2293,9.6
19-06-03,Thunder Spears,2201,9.6
19-06-03,Descent,2244,9.6
19-06-03,Perfect Game,3736,9.8
19-06-03,Hero,15007,9.9
19-06-03,Midnight Sun,1760,9.9
19-06-03,The Basement,0,0.0
19-06-03,Episode #3.20,0,0.0
19-06-03,Episode #3.21,0,0.0
19-06-03,Episode #3.22,0,0.0
