dates,episodes,votes,rating
19-06-27,The Town Where Everything Began,3372,9.6
19-06-27,Thunder Spears,3328,9.6
19-06-27,Descent,3476,9.6
19-06-27,Perfect Game,6376,9.9
19-06-27,Hero,19704,10.0
19-06-27,Midnight Sun,7449,9.9
19-06-27,The Basement,3175,9.3
19-06-27,That Day,5968,9.9
19-06-27,The Attack Titan,2089,9.7
19-06-27,To the Other Side of the Wall,0,0.0
