dates,episodes,votes,rating
19-06-06,The Town Where Everything Began,2605,9.6
19-06-06,Thunder Spears,2528,9.6
19-06-06,Descent,2606,9.6
19-06-06,Perfect Game,4427,9.8
19-06-06,Hero,16575,9.9
19-06-06,Midnight Sun,4597,9.9
19-06-06,The Basement,0,0
19-06-06,Episode #3.20,0,0
19-06-06,Episode #3.21,0,0
19-06-06,Episode #3.22,0,0
