dates,episodes,votes,rating
19-07-03,The Town Where Everything Began,3598,9.7
19-07-03,Thunder Spears,3555,9.7
19-07-03,Descent,3682,9.6
19-07-03,Perfect Game,6747,9.9
19-07-03,Hero,20244,10.0
19-07-03,Midnight Sun,7821,9.9
19-07-03,The Basement,3482,9.3
19-07-03,That Day,6410,9.9
19-07-03,The Attack Titan,2803,9.7
19-07-03,To the Other Side of the Wall,1628,9.6
