dates,episodes,votes,rating
19-06-24,The Town Where Everything Began,3270,9.6
19-06-24,Thunder Spears,3222,9.6
19-06-24,Descent,3359,9.6
19-06-24,Perfect Game,6133,9.9
19-06-24,Hero,19337,10.0
19-06-24,Midnight Sun,7205,9.9
19-06-24,The Basement,2948,9.3
19-06-24,That Day,5568,9.9
19-06-24,The Attack Titan,851,9.8
19-06-24,To the Other Side of the Wall,0,0.0
