dates,episodes,votes,rating
19-07-07,The Town Where Everything Began,3676,9.7
19-07-07,Thunder Spears,3629,9.7
19-07-07,Descent,3745,9.6
19-07-07,Perfect Game,6880,9.9
19-07-07,Hero,20476,10.0
19-07-07,Midnight Sun,7961,9.9
19-07-07,The Basement,3559,9.3
19-07-07,That Day,6543,9.9
19-07-07,The Attack Titan,2935,9.7
19-07-07,To the Other Side of the Wall,1895,9.5
