dates,episodes,votes,rating
19-07-06,The Town Where Everything Began,3661,9.6
19-07-06,Thunder Spears,3612,9.7
19-07-06,Descent,3729,9.6
19-07-06,Perfect Game,6855,9.9
19-07-06,Hero,20428,10.0
19-07-06,Midnight Sun,7933,9.9
19-07-06,The Basement,3542,9.3
19-07-06,That Day,6516,9.9
19-07-06,The Attack Titan,2905,9.7
19-07-06,To the Other Side of the Wall,1852,9.5
