dates,episodes,votes,rating
19-05-30,The Town Where Everything Began,2044,9.6
19-05-30,Thunder Spears,1933,9.6
19-05-30,Descent,1955,9.6
19-05-30,Perfect Game,3128,9.8
19-05-30,Hero,12905,9.9
19-05-30,Midnight Sun,0,0
19-05-30,The Basement,0,0
19-05-30,Episode #3.20,0,0
19-05-30,Episode #3.21,0,0
19-05-30,Episode #3.22,0,0
