dates,episodes,votes,rating
19-06-16,The Town Where Everything Began,2898,9.6
19-06-16,Thunder Spears,2831,9.6
19-06-16,Descent,2940,9.6
19-06-16,Perfect Game,5042,9.8
19-06-16,Hero,18010,10.0
19-06-16,Midnight Sun,5939,9.9
19-06-16,The Basement,1662,9.2
19-06-16,That Day,0,0.0
19-06-16,The Attack Titan,0,0.0
19-06-16,To the Other Side of the Wall,0,0.0
