dates,episodes,votes,rating
19-06-25,The Town Where Everything Began,3316,9.6
19-06-25,Thunder Spears,3274,9.6
19-06-25,Descent,3418,9.6
19-06-25,Perfect Game,6249,9.9
19-06-25,Hero,19491,10.0
19-06-25,Midnight Sun,7319,9.9
19-06-25,The Basement,3063,9.3
19-06-25,That Day,5769,9.9
19-06-25,The Attack Titan,1674,9.8
19-06-25,To the Other Side of the Wall,0,0.0
