dates,episodes,votes,rating
19-06-29,The Town Where Everything Began,3414,9.6
19-06-29,Thunder Spears,3372,9.7
19-06-29,Descent,3516,9.6
19-06-29,Perfect Game,6460,9.9
19-06-29,Hero,19842,10.0
19-06-29,Midnight Sun,7538,9.9
19-06-29,The Basement,3224,9.3
19-06-29,That Day,6060,9.9
19-06-29,The Attack Titan,2247,9.7
19-06-29,To the Other Side of the Wall,0,0.0
