dates,episodes,votes,rating
19-07-08,The Town Where Everything Began,3690,9.7
19-07-08,Thunder Spears,3643,9.7
19-07-08,Descent,3757,9.6
19-07-08,Perfect Game,6910,9.9
19-07-08,Hero,20526,10.0
19-07-08,Midnight Sun,7991,9.9
19-07-08,The Basement,3580,9.3
19-07-08,That Day,6571,9.9
19-07-08,The Attack Titan,2964,9.7
19-07-08,To the Other Side of the Wall,1937,9.5
