dates,episodes,votes,rating
19-07-02,The Town Where Everything Began,3567,9.7
19-07-02,Thunder Spears,3526,9.7
19-07-02,Descent,3653,9.6
19-07-02,Perfect Game,6688,9.9
19-07-02,Hero,20168,10.0
19-07-02,Midnight Sun,7758,9.9
19-07-02,The Basement,3428,9.3
19-07-02,That Day,6346,9.9
19-07-02,The Attack Titan,2722,9.7
19-07-02,To the Other Side of the Wall,1422,9.6
