dates,episodes,votes,rating
19-06-14,The Town Where Everything Began,2863,9.6
19-06-14,Thunder Spears,2795,9.6
19-06-14,Descent,2901,9.6
19-06-14,Perfect Game,4971,9.8
19-06-14,Hero,17849,10.0
19-06-14,Midnight Sun,5839,9.9
19-06-14,The Basement,1568,9.2
19-06-14,That Day,0,0.0
19-06-14,The Attack Titan,0,0.0
19-06-14,To the Other Side of the Wall,0,0.0
