dates,episodes,votes,rating
19-06-09,The Town Where Everything Began,2722,9.6
19-06-09,Thunder Spears,2649,9.6
19-06-09,Descent,2742,9.6
19-06-09,Perfect Game,4686,9.8
19-06-09,Hero,17204,9.9
19-06-09,Midnight Sun,5274,9.9
19-06-09,The Basement,0,0
19-06-09,Episode #3.20,0,0
19-06-09,Episode #3.21,0,0
19-06-09,To the Other Side of the Wall,0,0
