dates,episodes,votes,rating
19-07-09,The Town Where Everything Began,3697,9.7
19-07-09,Thunder Spears,3651,9.7
19-07-09,Descent,3765,9.6
19-07-09,Perfect Game,6925,9.9
19-07-09,Hero,20555,10.0
19-07-09,Midnight Sun,8010,9.9
19-07-09,The Basement,3592,9.3
19-07-09,That Day,6588,9.9
19-07-09,The Attack Titan,2979,9.7
19-07-09,To the Other Side of the Wall,1958,9.5
