dates,episodes,votes,rating
19-06-05,The Town Where Everything Began,2545,9.6
19-06-05,Thunder Spears,2469,9.6
19-06-05,Descent,2541,9.6
19-06-05,Perfect Game,4301,9.8
19-06-05,Hero,16256,10
19-06-05,Midnight Sun,4230,9.9
19-06-05,The Basement,0,0
19-06-05,Episode #3.20,0,0
19-06-05,Episode #3.21,0,0
19-06-05,Episode #3.22,0,0
