dates,episodes,votes,rating
19-06-18,The Town Where Everything Began,3055,9.6
19-06-18,Thunder Spears,3001,9.6
19-06-18,Descent,3118,9.6
19-06-18,Perfect Game,5538,9.9
19-06-18,Hero,18528,10.0
19-06-18,Midnight Sun,6549,9.9
19-06-18,The Basement,2360,9.3
19-06-18,That Day,3662,9.9
19-06-18,Attack on Titan,0,0.0
19-06-18,To the Other Side of the Wall,0,0.0
