dates,episodes,votes,rating
19-06-20,The Town Where Everything Began,3158,9.6
19-06-20,Thunder Spears,3112,9.6
19-06-20,Descent,3236,9.6
19-06-20,Perfect Game,5852,9.9
19-06-20,Hero,18883,10.0
19-06-20,Midnight Sun,6896,9.9
19-06-20,The Basement,2663,9.3
19-06-20,That Day,4844,9.9
19-06-20,Attack on Titan,0,0.0
19-06-20,To the Other Side of the Wall,0,0.0
