dates,episodes,votes,rating
19-06-10,The Town Where Everything Began,2759,9.6
19-06-10,Thunder Spears,2685,9.6
19-06-10,Descent,2783,9.6
19-06-10,Perfect Game,4770,9.8
19-06-10,Hero,17344,9.9
19-06-10,Midnight Sun,5473,9.9
19-06-10,The Basement,779,9.4
19-06-10,That Day,0,0
19-06-10,The Attack Titan,0,0
19-06-10,To the Other Side of the Wall,0,0
