dates,episodes,votes,rating
19-06-07,The Town Where Everything Began,2642,9.6
19-06-07,Thunder Spears,2565,9.6
19-06-07,Descent,2653,9.6
19-06-07,Perfect Game,4514,9.8
19-06-07,Hero,16777,10
19-06-07,Midnight Sun,4857,9.9
19-06-07,The Basement,0,0
19-06-07,Episode #3.20,0,0
19-06-07,Episode #3.21,0,0
19-06-07,Episode #3.22,0,0
