dates,episodes,votes,rating
19-06-30,The Town Where Everything Began,3433,9.6
19-06-30,Thunder Spears,3392,9.7
19-06-30,Descent,3534,9.6
19-06-30,Perfect Game,6495,9.9
19-06-30,Hero,19905,10.0
19-06-30,Midnight Sun,7571,9.9
19-06-30,The Basement,3248,9.3
19-06-30,That Day,6100,9.9
19-06-30,The Attack Titan,2312,9.7
19-06-30,To the Other Side of the Wall,0,0.0
