dates,episodes,votes,rating
19-05-31,The Town Where Everything Began,2078,9.6
19-05-31,Thunder Spears,1970,9.6
19-05-31,Descent,1995,9.6
19-05-31,Perfect Game,3218,9.8
19-05-31,Hero,13314,9.9
19-05-31,Midnight Sun,0,0.0
19-05-31,The Basement,0,0.0
19-05-31,Episode #3.20,0,0.0
19-05-31,Episode #3.21,0,0.0
19-05-31,Episode #3.22,0,0.0
