dates,episodes,votes,rating
19-06-17,The Town Where Everything Began,2952,9.6
19-06-17,Thunder Spears,2884,9.6
19-06-17,Descent,3000,9.6
19-06-17,Perfect Game,5141,9.9
19-06-17,Hero,18179,10.0
19-06-17,Midnight Sun,6112,9.9
19-06-17,The Basement,1893,9.3
19-06-17,That Day,1110,10.0
19-06-17,The Attack Titan,0,0.0
19-06-17,To the Other Side of the Wall,0,0.0
