dates,episodes,votes,rating
19-07-10,The Town Where Everything Began,3716,9.7
19-07-10,Thunder Spears,3668,9.7
19-07-10,Descent,3780,9.6
19-07-10,Perfect Game,6954,9.9
19-07-10,Hero,20592,10.0
19-07-10,Midnight Sun,8037,9.9
19-07-10,The Basement,3607,9.3
19-07-10,That Day,6612,9.9
19-07-10,The Attack Titan,3000,9.7
19-07-10,To the Other Side of the Wall,1985,9.5
